timestamp,type,host
1576466446866,a,mtalk.google.com
1576466448468,a,mtalk.google.com
1576466458625,a,mtalk.google.com
1576466462583,a,mtalk.google.com
1576466466710,a,mtalk.google.com
1576466469030,a,mtalk.google.com
1576466584548,a,semanticlocation-pa.googleapis.com
1576466584722,a,footprints-pa.googleapis.com
1576466585879,a,www.googleapis.com
1576466616125,b,sessions.bugsnag.com
1576466635057,b,sessions.bugsnag.com
1576466652666,a,www.google.com
1576466652701,a,www.google.com
1576466652731,a,www.google.com
1576466652766,a,clientservices.googleapis.com
1576466652792,a,www.google.com
1576466652817,a,www.google.com
1576466653627,a,api.textnow.me
1576466661791,b,e.crashlytics.com
1576466687163,b,sessions.bugsnag.com
1576466800493,a,145.7.57.10.in-addr.arpa
1576466800518,a,124.7.57.10.in-addr.arpa
1576466865886,a,api.weather.com
1576467011080,a,www.google.com
1576467011121,a,www.google.com
1576467011155,a,www.google.com
1576467011180,a,www.google.com
1576467015287,a,www.gstatic.com
1576467015306,a,www.gstatic.com
1576467015356,a,www.gstatic.com
1576467015369,a,www.gstatic.com
1576467015445,a,www.gstatic.com
1576467018785,a,android.clients.google.com
1576467032066,a,fonts.googleapis.com
1576467032601,a,fonts.gstatic.com
1576467053351,a,lh3.googleusercontent.com
1576467053382,a,lh3.googleusercontent.com
1576467053404,a,lh3.googleusercontent.com
1576467053425,a,lh3.googleusercontent.com
1576467053438,a,lh3.googleusercontent.com
1576467132537,b,data.flurry.com
1576467161591,b,sessions.bugsnag.com
1576467192644,a,digitalassetlinks.googleapis.com
1576467198883,a,android.googleapis.com
1576467201864,a,accounts.google.com
1576467201896,a,accounts.google.com
1576467201910,a,accounts.google.com
1576467201955,a,accounts.google.com
1576467202000,a,accounts.google.com
1576467203521,a,www.googleapis.com
1576467203614,a,www.google.com
1576467203679,a,www.google.com
1576467203686,a,www.google.com
1576467203700,a,www.google.com
1576467206379,b,v8.analytics.pinsightmedia.com
1576467206472,b,data.flurry.com
1576467255576,a,semanticlocation-pa.googleapis.com
1576467256826,a,notifications-pa.googleapis.com
1576467271487,a,people-pa.googleapis.com
1576467271577,a,people-pa.googleapis.com
1576467271642,a,people-pa.googleapis.com
1576467271667,a,geller-pa.googleapis.com
1576467271750,a,people-pa.googleapis.com
1576467271762,a,people-pa.googleapis.com
1576467274002,a,www.google.com
1576467274014,a,www.google.com
1576467274092,a,www.google.com
1576467274122,a,www.google.com
1576467274158,a,www.google.com
1576467274920,a,mdh-pa.googleapis.com
1576467275041,a,mdh-pa.googleapis.com
1576467275080,a,mdh-pa.googleapis.com
1576467275163,a,mdh-pa.googleapis.com
1576467275218,a,mdh-pa.googleapis.com
1576467308050,a,history.google.com
1576467308089,a,history.google.com
1576467308105,a,history.google.com
1576467308132,a,history.google.com
1576467308173,a,history.google.com
1576467330197,a,mobilemaps-pa.googleapis.com
1576467330326,a,clients4.google.com
1576517861333,a,snaptu-mini.facebook.com
1576517861445,a,mtalk.google.com
1576517861692,a,velb-pue1gld-312177699.eu-west-1.elb.amazonaws.com
1576517864888,b,sessions.bugsnag.com
1576517881602,a,ew1.reg.bigdata.ssp.samsung.com
1576518002239,b,sessions.bugsnag.com
1576518014450,a,android.googleapis.com
1576518041039,a,bartingor.com
1576518045141,a,report.appmetrica.yandex.net
1576518045559,a,certificate.mobile.yandex.net
1576518046807,a,android.clients.google.com
1576518113189,b,config.safedk.com
1576518113580,b,graph.facebook.com
1576518114573,a,pad-v3.presage.io
1576518114619,a,firebaseremoteconfig.googleapis.com
1576518173239,b,config.safedk.com
1576518175007,a,eklampa.com
1576518178867,a,imasdk.googleapis.com
1576518178940,a,safebrowsing.googleapis.com
1576518179429,b,s0.2mdn.net
1576518179476,b,adservice.google.com
1576518180943,b,csi.gstatic.com
1576518181259,b,cdn.liftoff.io
1576518181311,b,adexp.liftoff.io
1576518181326,a,api-us.appodealx.com
1576518301206,a,fumirol.com
1576518305265,a,conversion.adtonic.net
1576518307268,a,click.trk-indexmobi.com
1576518307459,a,trk.ocgklngrpq.com
1576518308247,a,adservil.info
1576518445297,a,hurgadont.com
1576518473276,b,config.safedk.com
1576518514465,a,www.google.com
1576518520910,b,id.google.com
1576518525531,b,www.googleadservices.com
1576518525611,a,accounts.google.com
1576518531413,a,twzriflsyho
1576518531448,a,zctnudbris
1576518531479,a,aqezjyhwkdba
1576518531746,a,encrypted-tbn2.gstatic.com
1576518531803,a,encrypted-tbn0.gstatic.com
1576518534231,a,encrypted-tbn1.gstatic.com
1576518534268,a,encrypted-tbn3.gstatic.com
1576518538680,b,sessions.bugsnag.com
1576518539712,a,cdn.ampproject.org
1576518541836,b,adservice.google.com
1576518542003,a,www.gstatic.com
1576518542059,a,www.gstatic.com
1576518542112,a,www.gstatic.com
1576518542161,a,www.gstatic.com
1576518542189,a,www.gstatic.com
1576518542232,a,weather.com
1576518542292,a,weather.com
1576518542354,a,weather.com
1576518542435,a,weather.com
1576518542450,a,weather.com
1576518542600,a,zewmdyc
1576518542628,a,vgxvdeigeicghw
1576518542661,a,avrqdpwgv
1576518542874,a,clientservices.googleapis.com
1576518542909,a,clientservices.googleapis.com
